epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.659,1.1419,2.08823,1.22035,0.54039,0.21264,0.26266,0.1434,1.17471,2.91787,1.29204,0.000651515,0.000651515,0.000651515
2,304.511,1.33751,1.95589,1.33195,0.32476,0.21264,0.17864,0.08398,1.42707,3.17123,1.56631,0.00125293,0.00125293,0.00125293
3,463.955,1.4025,1.91165,1.3877,0.37225,0.27874,0.24023,0.10793,1.80943,2.61874,1.99261,0.00178835,0.00178835,0.00178835
4,624.933,1.46047,1.89989,1.44771,0.29442,0.36782,0.22608,0.10317,1.70635,2.44417,1.85119,0.001703,0.001703,0.001703
5,785.213,1.41208,1.75729,1.40638,0.44688,0.39943,0.35964,0.18738,1.65059,2.37486,1.7123,0.001604,0.001604,0.001604
6,951.635,1.35648,1.69151,1.35283,0.4753,0.40517,0.37542,0.18826,1.58651,2.20492,1.61858,0.001505,0.001505,0.001505
7,1113.14,1.3194,1.6852,1.36762,0.53748,0.39943,0.43866,0.24021,1.42624,2.14593,1.46308,0.001406,0.001406,0.001406
8,1271.12,1.26107,1.56048,1.30849,0.49408,0.51149,0.51101,0.27385,1.37869,1.89823,1.47295,0.001307,0.001307,0.001307
9,1433.34,1.26446,1.49135,1.29683,0.60192,0.51271,0.57169,0.32923,1.27124,1.69637,1.32884,0.001208,0.001208,0.001208
10,1596.18,1.21047,1.47144,1.25762,0.62625,0.48851,0.55143,0.33419,1.25197,1.70447,1.38696,0.001109,0.001109,0.001109
11,1761.34,1.1868,1.48665,1.27581,0.55745,0.56609,0.59253,0.35508,1.20082,1.62985,1.32511,0.00101,0.00101,0.00101
12,1921.12,1.14431,1.38556,1.23489,0.61047,0.51437,0.57955,0.34701,1.2627,1.55225,1.3855,0.000911,0.000911,0.000911
13,2084.38,1.10017,1.33317,1.22803,0.59659,0.56897,0.60178,0.38071,1.16509,1.49054,1.30204,0.000812,0.000812,0.000812
14,2253.03,1.06582,1.29721,1.18289,0.63593,0.56034,0.59123,0.3683,1.19191,1.57365,1.31891,0.000713,0.000713,0.000713
15,2414.91,1.04024,1.24732,1.17382,0.63544,0.62931,0.63403,0.41058,1.09706,1.41272,1.24273,0.000614,0.000614,0.000614
16,2576.71,1.00538,1.21454,1.16224,0.6277,0.65805,0.68217,0.45547,1.07606,1.37875,1.22427,0.000515,0.000515,0.000515
17,2740.37,0.97542,1.13791,1.13016,0.61669,0.66667,0.6769,0.44876,1.073,1.33553,1.21521,0.000416,0.000416,0.000416
18,2898.95,0.95882,1.11264,1.127,0.63091,0.6408,0.6894,0.47534,1.05224,1.33582,1.22018,0.000317,0.000317,0.000317
19,3067.12,0.90645,1.04001,1.09686,0.67298,0.615,0.67643,0.46965,1.04006,1.28201,1.19637,0.000218,0.000218,0.000218
20,3231.65,0.87851,0.97996,1.08257,0.75332,0.59195,0.70867,0.49795,1.00719,1.25867,1.1794,0.000119,0.000119,0.000119
