epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.391,1.14412,2.14461,1.21395,0.65483,0.07397,0.25889,0.14348,1.1808,2.8737,1.24405,0.000651515,0.000651515,0.000651515
2,320.831,1.33602,1.92927,1.345,0.2924,0.26452,0.18128,0.09228,1.48897,2.72135,1.55129,0.00125293,0.00125293,0.00125293
3,481.5,1.42604,1.93255,1.40936,0.17445,0.38691,0.12271,0.05864,1.6368,3.04116,1.74111,0.00178835,0.00178835,0.00178835
4,641.558,1.41955,1.8647,1.40302,0.30277,0.39471,0.27127,0.13734,1.61586,2.6212,1.74309,0.001703,0.001703,0.001703
5,801.789,1.38734,1.77821,1.40471,0.44858,0.36131,0.3502,0.18299,1.45755,2.13873,1.54115,0.001604,0.001604,0.001604
6,961.057,1.37658,1.74188,1.37852,0.44431,0.46088,0.43347,0.23858,1.37338,2.4508,1.45242,0.001505,0.001505,0.001505
7,1119.55,1.34143,1.66456,1.33997,0.48362,0.53155,0.5014,0.29944,1.29553,2.01961,1.39221,0.001406,0.001406,0.001406
8,1275.52,1.27497,1.60309,1.32057,0.51034,0.52489,0.51652,0.3056,1.34026,1.82941,1.42134,0.001307,0.001307,0.001307
9,1431.71,1.27068,1.51076,1.30739,0.55407,0.54481,0.55527,0.34092,1.27388,1.64206,1.37027,0.001208,0.001208,0.001208
10,1589.46,1.22279,1.44205,1.25884,0.57579,0.53868,0.5593,0.34783,1.21948,1.6781,1.35172,0.001109,0.001109,0.001109
11,1744.92,1.16712,1.57299,1.27947,0.54082,0.59744,0.57632,0.35081,1.18255,1.74964,1.32847,0.00101,0.00101,0.00101
12,1899.34,1.12047,1.42236,1.2194,0.57945,0.5761,0.57805,0.36333,1.22346,1.63675,1.36072,0.000911,0.000911,0.000911
13,2055.68,1.12239,1.33575,1.21638,0.59309,0.5889,0.5949,0.37781,1.20144,1.53401,1.3085,0.000812,0.000812,0.000812
14,2216.07,1.06839,1.30579,1.18488,0.65222,0.55903,0.62189,0.4059,1.14494,1.49194,1.28199,0.000713,0.000713,0.000713
15,2374.16,1.04329,1.24177,1.16463,0.64149,0.5889,0.6274,0.41464,1.12253,1.5092,1.28687,0.000614,0.000614,0.000614
16,2533.85,1.00552,1.19331,1.13616,0.65751,0.6554,0.67448,0.44318,1.07201,1.32233,1.23279,0.000515,0.000515,0.000515
17,2693.85,0.99055,1.1189,1.13717,0.66874,0.6174,0.67318,0.45261,1.0641,1.30722,1.22056,0.000416,0.000416,0.000416
18,2856.19,0.93533,1.0618,1.09663,0.64077,0.65971,0.68577,0.47053,1.02591,1.30533,1.19612,0.000317,0.000317,0.000317
19,3014.41,0.9332,1.0251,1.10236,0.70109,0.6643,0.70082,0.49366,1.01234,1.27214,1.19477,0.000218,0.000218,0.000218
20,3168.65,0.88318,0.99806,1.07209,0.69412,0.6643,0.71348,0.50618,0.98748,1.23585,1.17712,0.000119,0.000119,0.000119
